Comment,Designator,Footprint,LCSC, LCSC
"22u","C1,C14","Capacitor_SMD:C_0603_1608Metric","","C84419"
"0.22u","C2,C4,C5,C13,C8,C10,C11,C36,C35,C34,C32,C33,C16,C15,C25,C23,C21,C17,C18,C19","Capacitor_SMD:C_0402_1005Metric","","C89141"
"4.7p","C27,C26","Capacitor_SMD:C_0402_1005Metric","","C89141"
"4.7u","C3,C9,C31,C30,C29,C28,C24,C22,C20","Capacitor_SMD:C_0402_1005Metric","","C77004"
"7p","C37,C38","Capacitor_SMD:C_0402_1005Metric","","C88937"
"47u","C6","Capacitor_SMD:C_1210_3225Metric","","C397312"
"1u","C7,C12","Capacitor_SMD:C_0402_1005Metric","","C389008"
"LED_ALT","D1","LED_SMD:LED_0805_2012Metric","","C264415"
"Conn_Coaxial_Power","J1","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical",""
"Conn_02x05_Odd_Even","J2","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical",""
"ROMBOOT","JP1","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical",""
"4.7u","L1","Inductors_SMD:L_Taiyo-Yuden_MD-4040","","C326301"
"30k","R1,R4","Resistor_SMD:R_0402_1005Metric","","C102956"
"10k","R2","Resistor_SMD:R_0402_1005Metric","","C60490"
"1k","R3,R7","Resistor_SMD:R_0402_1005Metric","","C106235"
"2.2M","R5","Resistor_SMD:R_0402_1005Metric","","C138015"
"1M","R6","Resistor_SMD:R_0402_1005Metric",""
"SW_Push_45deg","SW1","imxrt1020-breakout:SW_Tactile_2P_50mil",""
"TestPoint","TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22","imxrt1020-breakout:VIA_Hole",""
"MIMXRT1021-LQFP100","U1","Package_QFP:LQFP-100_14x14mm_P0.5mm",""
"TPS3839DBZ","U2","Package_TO_SOT_SMD:SOT-23","","C485802"
"XRCGB24M000F2P00R0","Y1","imxrt1020-breakout:XRCGB24M000F2P00R0","","C475968"
"Q13FC1350000200","Y2","imxrt1020-breakout:Q13FC1350000200","","C48615"
